IdCompaniaCelular,Nombre,Usuario,FhUltModif
1,Desarrollo de juegos en Java,2013-08-07 00:00:00,2014-01-31 00:00:00
2,Teatro Interactivo,2013-08-05 00:00:00,2014-01-31 00:00:00
3,Tecnología para la escuela,2013-04-03 00:00:00,
4,Produccion Videos Institucionales,2013-08-14 00:00:00,2014-02-06 00:00:00
5,Videohistorieta avanzado,2013-08-24 00:00:00,2015-10-01 00:00:00
6,PROMAPPING,2013-09-12 00:00:00,2015-10-01 00:00:00
7,Motion Capture,2013-09-24 00:00:00,2015-09-22 00:00:00
8,Producción musical para evento en vivo,2013-10-03 00:00:00,2014-02-06 00:00:00
9,Diseño de Indumentaria,2008-01-01 00:00:00,2015-09-22 00:00:00
10,Diseño de Videojuegos,2008-05-01 00:00:00,2015-09-22 00:00:00
11,FX 1,2008-05-01 00:00:00,2015-09-22 00:00:00
12,Dibujo estilo anime,2008-06-01 00:00:00,2015-09-22 00:00:00
13,DJ,2008-07-01 00:00:00,2015-09-22 00:00:00
14,Diseño de Pag Web,2008-07-01 00:00:00,2015-09-22 00:00:00
15,Arte Urbano,2008-08-01 00:00:00,2015-10-01 00:00:00
16,Dibujo inicial,2008-08-01 00:00:00,2015-09-22 00:00:00
17,Nivelación Premiere,2008-09-01 00:00:00,2015-10-01 00:00:00
18,Animación,2008-09-01 00:00:00,2015-10-01 00:00:00
19,FX2,2008-09-01 00:00:00,2015-10-01 00:00:00
20,Diseño de Espacios en 3D,2008-09-01 00:00:00,2015-10-01 00:00:00
21,ACTUACIÓN FRENTE A CÁMARA,2008-10-01 00:00:00,2015-10-01 00:00:00
22,Arquitectura,2008-11-01 00:00:00,2008-12-01 00:00:00
23,Producción Musical,2009-01-01 00:00:00,2015-10-01 00:00:00
24,Robótica,2009-01-01 00:00:00,2009-02-01 00:00:00
25,DISEÑO DE PERSONAJES,2009-01-01 00:00:00,2015-10-01 00:00:00
