IdCursosSociosPresentes,IdCurso,idSocio,FechaPresente
1,1,3073,2013-08-07 00:00:00
2,3,2577,2013-08-14 00:00:00
3,3,3386,2013-08-14 00:00:00
4,3,3323,2013-08-14 00:00:00
5,3,3580,2013-08-14 00:00:00
6,3,3822,2013-08-14 00:00:00
7,3,3518,2013-08-14 00:00:00
8,3,3576,2013-08-14 00:00:00
9,3,3884,2013-08-14 00:00:00
10,3,3581,2013-08-14 00:00:00
11,3,3587,2013-08-14 00:00:00
12,4,3942,2013-08-20 00:00:00
13,4,2597,2013-08-20 00:00:00
14,4,3501,2013-08-20 00:00:00
15,4,3667,2013-08-20 00:00:00
16,4,3529,2013-08-20 00:00:00
17,4,2716,2013-08-20 00:00:00
18,4,3921,2013-08-20 00:00:00
19,4,3747,2013-08-20 00:00:00
20,4,3936,2013-08-20 00:00:00
21,4,3935,2013-08-20 00:00:00
22,4,3942,2013-08-29 00:00:00
23,4,3286,2013-08-29 00:00:00
24,4,2597,2013-08-29 00:00:00
25,4,3501,2013-08-29 00:00:00
26,4,3750,2013-08-29 00:00:00
27,4,3667,2013-08-29 00:00:00
28,4,3390,2013-08-29 00:00:00
29,4,3921,2013-08-29 00:00:00
30,4,3936,2013-08-29 00:00:00
31,4,3019,2013-08-29 00:00:00
32,4,3935,2013-08-29 00:00:00
33,1,2978,2013-08-29 00:00:00
34,1,3062,2013-08-29 00:00:00
35,1,3073,2013-08-29 00:00:00
36,1,3913,2013-08-29 00:00:00
37,1,3911,2013-08-29 00:00:00
38,1,3407,2013-08-29 00:00:00
39,1,3836,2013-08-29 00:00:00
40,1,3909,2013-08-29 00:00:00
41,1,3400,2013-08-29 00:00:00
42,1,3915,2013-08-29 00:00:00
43,1,3925,2013-08-29 00:00:00
44,1,3916,2013-08-29 00:00:00
45,4,2597,2013-08-23 00:00:00
46,4,3501,2013-08-23 00:00:00
47,4,3750,2013-08-23 00:00:00
48,4,2716,2013-08-23 00:00:00
49,4,3921,2013-08-23 00:00:00
50,4,3747,2013-08-23 00:00:00
51,4,3936,2013-08-23 00:00:00
52,4,3935,2013-08-23 00:00:00
53,4,3942,2013-08-22 00:00:00
54,4,3286,2013-08-22 00:00:00
55,4,2597,2013-08-22 00:00:00
56,4,3501,2013-08-22 00:00:00
57,4,3750,2013-08-22 00:00:00
58,4,3529,2013-08-22 00:00:00
59,4,2716,2013-08-22 00:00:00
60,4,3921,2013-08-22 00:00:00
61,4,3747,2013-08-22 00:00:00
62,4,3936,2013-08-22 00:00:00
63,4,3019,2013-08-22 00:00:00
64,4,3935,2013-08-22 00:00:00
65,4,3286,2013-08-13 00:00:00
66,4,2597,2013-08-13 00:00:00
67,4,3501,2013-08-13 00:00:00
68,4,3667,2013-08-13 00:00:00
69,4,3529,2013-08-13 00:00:00
70,4,3390,2013-08-13 00:00:00
71,4,2716,2013-08-13 00:00:00
72,4,3921,2013-08-13 00:00:00
73,4,3747,2013-08-13 00:00:00
74,4,3936,2013-08-13 00:00:00
75,4,3019,2013-08-13 00:00:00
76,4,3935,2013-08-13 00:00:00
77,4,3942,2013-08-15 00:00:00
78,4,3286,2013-08-15 00:00:00
79,4,2597,2013-08-15 00:00:00
80,4,3501,2013-08-15 00:00:00
81,4,3667,2013-08-15 00:00:00
82,4,3529,2013-08-15 00:00:00
83,4,3390,2013-08-15 00:00:00
84,4,2716,2013-08-15 00:00:00
85,4,3921,2013-08-15 00:00:00
86,4,3747,2013-08-15 00:00:00
87,4,3936,2013-08-15 00:00:00
88,4,3019,2013-08-15 00:00:00
89,4,3935,2013-08-15 00:00:00
90,4,2597,2013-08-06 00:00:00
91,4,2716,2013-08-06 00:00:00
92,1,3912,2013-08-29 00:00:00
93,1,3926,2013-08-29 00:00:00
94,1,3927,2013-08-29 00:00:00
95,1,2978,2013-08-27 00:00:00
96,1,3062,2013-08-27 00:00:00
97,1,3073,2013-08-27 00:00:00
98,1,3913,2013-08-27 00:00:00
99,1,3911,2013-08-27 00:00:00
100,1,3836,2013-08-27 00:00:00
101,1,3909,2013-08-27 00:00:00
102,1,3912,2013-08-27 00:00:00
103,1,3400,2013-08-27 00:00:00
104,1,3915,2013-08-27 00:00:00
105,1,3924,2013-08-27 00:00:00
106,1,3926,2013-08-27 00:00:00
107,1,3927,2013-08-27 00:00:00
108,1,2978,2013-08-26 00:00:00
109,1,3073,2013-08-26 00:00:00
110,1,3913,2013-08-26 00:00:00
111,1,3911,2013-08-26 00:00:00
112,1,3407,2013-08-26 00:00:00
113,1,3836,2013-08-26 00:00:00
114,1,3909,2013-08-26 00:00:00
115,1,3912,2013-08-26 00:00:00
116,1,3400,2013-08-26 00:00:00
117,1,3915,2013-08-26 00:00:00
118,1,3926,2013-08-26 00:00:00
119,1,2978,2013-08-20 00:00:00
120,1,3062,2013-08-20 00:00:00
121,1,3073,2013-08-20 00:00:00
122,1,3836,2013-08-20 00:00:00
123,1,3909,2013-08-20 00:00:00
124,1,3924,2013-08-20 00:00:00
125,1,3925,2013-08-20 00:00:00
126,1,3926,2013-08-20 00:00:00
127,1,3927,2013-08-20 00:00:00
128,1,3916,2013-08-20 00:00:00
129,1,2978,2013-08-22 00:00:00
130,1,3062,2013-08-22 00:00:00
131,1,3073,2013-08-22 00:00:00
132,1,3913,2013-08-22 00:00:00
133,1,3911,2013-08-22 00:00:00
134,1,3836,2013-08-22 00:00:00
135,1,3909,2013-08-22 00:00:00
136,1,3923,2013-08-22 00:00:00
137,1,3400,2013-08-22 00:00:00
138,1,3915,2013-08-22 00:00:00
139,1,3924,2013-08-22 00:00:00
140,1,3925,2013-08-22 00:00:00
141,1,3926,2013-08-22 00:00:00
142,1,3916,2013-08-22 00:00:00
143,1,2978,2013-08-12 00:00:00
144,1,3062,2013-08-12 00:00:00
145,1,3913,2013-08-12 00:00:00
146,1,3918,2013-08-12 00:00:00
147,1,3911,2013-08-12 00:00:00
148,1,3836,2013-08-12 00:00:00
149,1,3909,2013-08-12 00:00:00
150,1,3912,2013-08-12 00:00:00
151,1,3400,2013-08-12 00:00:00
152,1,3915,2013-08-12 00:00:00
153,1,3924,2013-08-12 00:00:00
154,1,3925,2013-08-12 00:00:00
155,1,3927,2013-08-12 00:00:00
156,1,3916,2013-08-12 00:00:00
157,1,2978,2013-08-13 00:00:00
158,1,3062,2013-08-13 00:00:00
159,1,3073,2013-08-13 00:00:00
160,1,3913,2013-08-13 00:00:00
161,1,3918,2013-08-13 00:00:00
162,1,3910,2013-08-13 00:00:00
163,1,3836,2013-08-13 00:00:00
164,1,3909,2013-08-13 00:00:00
165,1,3912,2013-08-13 00:00:00
166,1,3923,2013-08-13 00:00:00
167,1,3400,2013-08-13 00:00:00
168,1,3925,2013-08-13 00:00:00
169,1,3916,2013-08-13 00:00:00
170,1,2978,2013-08-15 00:00:00
171,1,3073,2013-08-15 00:00:00
172,1,3913,2013-08-15 00:00:00
173,1,3918,2013-08-15 00:00:00
174,1,3911,2013-08-15 00:00:00
175,1,3407,2013-08-15 00:00:00
176,1,3910,2013-08-15 00:00:00
177,1,3836,2013-08-15 00:00:00
178,1,3909,2013-08-15 00:00:00
179,1,3912,2013-08-15 00:00:00
180,1,3400,2013-08-15 00:00:00
181,1,3915,2013-08-15 00:00:00
182,1,3925,2013-08-15 00:00:00
183,1,3926,2013-08-15 00:00:00
184,1,2978,2013-08-08 00:00:00
185,1,3073,2013-08-08 00:00:00
186,1,3913,2013-08-08 00:00:00
187,1,3918,2013-08-08 00:00:00
188,1,3911,2013-08-08 00:00:00
189,1,3407,2013-08-08 00:00:00
190,1,3910,2013-08-08 00:00:00
191,1,3836,2013-08-08 00:00:00
192,1,3909,2013-08-08 00:00:00
193,1,3912,2013-08-08 00:00:00
194,1,3923,2013-08-08 00:00:00
195,1,3400,2013-08-08 00:00:00
196,1,3915,2013-08-08 00:00:00
197,1,3924,2013-08-08 00:00:00
198,1,3925,2013-08-08 00:00:00
199,1,3926,2013-08-08 00:00:00
200,1,3927,2013-08-08 00:00:00
201,1,2978,2013-08-01 00:00:00
202,1,3073,2013-08-01 00:00:00
203,2,3501,2013-08-29 00:00:00
204,2,3921,2013-08-29 00:00:00
205,2,3936,2013-08-29 00:00:00
206,2,3935,2013-08-29 00:00:00
207,2,3501,2013-08-28 00:00:00
208,2,2633,2013-08-28 00:00:00
209,2,3921,2013-08-28 00:00:00
210,2,2741,2013-08-28 00:00:00
211,2,3936,2013-08-28 00:00:00
212,2,3935,2013-08-28 00:00:00
213,2,3747,2013-08-28 00:00:00
214,2,3940,2013-08-28 00:00:00
215,2,3501,2013-08-26 00:00:00
216,2,2633,2013-08-26 00:00:00
217,2,3920,2013-08-26 00:00:00
218,2,3819,2013-08-26 00:00:00
219,2,3921,2013-08-26 00:00:00
220,2,2741,2013-08-26 00:00:00
221,2,3936,2013-08-26 00:00:00
222,2,3935,2013-08-26 00:00:00
223,2,3919,2013-08-26 00:00:00
224,2,3747,2013-08-26 00:00:00
225,2,3941,2013-08-26 00:00:00
226,2,3940,2013-08-26 00:00:00
227,2,3501,2013-08-21 00:00:00
228,2,2633,2013-08-21 00:00:00
229,2,3920,2013-08-21 00:00:00
230,2,3819,2013-08-21 00:00:00
231,2,3921,2013-08-21 00:00:00
232,2,2741,2013-08-21 00:00:00
233,2,3936,2013-08-21 00:00:00
234,2,3935,2013-08-21 00:00:00
235,2,3747,2013-08-21 00:00:00
236,2,3941,2013-08-21 00:00:00
237,2,3940,2013-08-21 00:00:00
238,2,3501,2013-08-23 00:00:00
239,2,2633,2013-08-23 00:00:00
240,2,3920,2013-08-23 00:00:00
241,2,3819,2013-08-23 00:00:00
242,2,3921,2013-08-23 00:00:00
243,2,3936,2013-08-23 00:00:00
244,2,3935,2013-08-23 00:00:00
245,2,3919,2013-08-23 00:00:00
246,2,3747,2013-08-23 00:00:00
247,2,3941,2013-08-23 00:00:00
248,2,3940,2013-08-23 00:00:00
249,2,3501,2013-08-16 00:00:00
250,2,2633,2013-08-16 00:00:00
251,2,3920,2013-08-16 00:00:00
252,2,3921,2013-08-16 00:00:00
253,2,2741,2013-08-16 00:00:00
254,2,3936,2013-08-16 00:00:00
255,2,3935,2013-08-16 00:00:00
256,2,3919,2013-08-16 00:00:00
257,2,3747,2013-08-16 00:00:00
258,2,3941,2013-08-16 00:00:00
259,2,3940,2013-08-16 00:00:00
260,2,3501,2013-08-14 00:00:00
261,2,2633,2013-08-14 00:00:00
262,2,3920,2013-08-14 00:00:00
263,2,3819,2013-08-14 00:00:00
264,2,3921,2013-08-14 00:00:00
265,2,2741,2013-08-14 00:00:00
266,2,3936,2013-08-14 00:00:00
267,2,3935,2013-08-14 00:00:00
268,2,3919,2013-08-14 00:00:00
269,2,3747,2013-08-14 00:00:00
270,2,3941,2013-08-14 00:00:00
271,2,3940,2013-08-14 00:00:00
272,2,3501,2013-08-12 00:00:00
